categoria,pregunta,opcion_a,opcion_b,opcion_c,opcion_d,respuesta
Fechas Importantes,¿Qué pasó en el año 1989?,Fin de la Guerra de Vietnam,Caída del Muro de Berlín,Inicio de Internet,Tsunami de Japón,B
Fechas Importantes,¿Qué pasó en el año 2001?,Crisis de 2008,Atentados del 11 de septiembre,Inicio del Euro,Pandemia del SARS,B
Fechas Importantes,¿Qué pasó en el año 2020?,Guerra en Ucrania,Pandemia de COVID-19,Crisis climática,Tercera guerra mundial,B
Fechas Importantes,¿Qué pasó en el año 1810?,Revolución Industrial,Inicio de la independencia de América Latina,Publicación de la Biblia,Guerra Civil Española,B
Fechas Importantes,¿Qué pasó en el año 1914?,Creación de la OTAN,Inicio de la Primera Guerra Mundial,Colapso del Imperio Ruso,Descubrimiento del electrón,B
Fechas Importantes,¿Qué pasó en el año 1953?,Creación de Google,Descubrimiento de la estructura del ADN,Inicio del rock and roll,Invención del láser,B
Cultura,¿Quién fundó la cultura Egipcia?,Cleopatra,Narmer,Tutankamón,Ramsés II,B
Cultura,¿Quién fundó la cultura Inca?,Atahualpa,Manco Cápac,Túpac Amaru,Pachacútec,B
Cultura,¿Quién fundó la cultura Azteca?,Moctezuma,Huitzilopochtli,Tlacaélel,Cuauhtémoc,B
Cultura,¿Quién fundó la cultura China?,Confucio,Qin Shi Huang,Lao Tsé,Sun Tzu,B
Cultura,¿Quién fundó la cultura Griega?,Sócrates,Pericles,Alejandro Magno,Aristóteles,B
Cultura,¿Quién fundó la cultura Romana?,César,Rómulo,Nerón,Augusto,B
Cultura,¿Quién fundó la cultura Maya?,Pakal,K'inich Janaab',Balam,Chac,B
Cultura,¿Quién fundó la cultura Vikinga?,Leif Erikson,Ragnar Lothbrok,Bjorn Ironside,Erik el Rojo,B
Cultura,¿Quién fundó la cultura India?,Gandhi,Ashoka,Nehru,Tagore,B
Cultura,¿Quién fundó la cultura Persa?,Dario I,Ciro el Grande,Jerjes,Artajerjes,B
